id,name,name_en,lat,lng,radius_m,category,region,district,grade,xp_reward,requires_confirmation,description,badge_concept,badge_color,badge_icon
1,경복궁,Gyeongbokgung Palace,37.5796,126.9770,150,역사,서울,종로구,특별,300,TRUE,조선왕조 정궁·5대궁 중 최대 규모,근정전 단청 무늬·청기와 실루엣,#C8102E,🏯
2,창덕궁,Changdeokgung Palace,37.5794,126.9910,150,역사,서울,종로구,희귀,150,TRUE,유네스코 세계문화유산·후원으로 유명,후원 연못·소나무 실루엣,#1F5E3B,🏯
3,창경궁,Changgyeonggung Palace,37.5784,126.9947,120,역사,서울,종로구,일반,50,FALSE,조선시대 동궐·왕대비 거처,명정전 단청,#8B4513,🏯
4,덕수궁,Deoksugung Palace,37.5658,126.9751,120,역사,서울,중구,희귀,150,TRUE,석조전·정관헌 등 동서양 건축 혼재,석조전 정면 실루엣,#D4AF37,🏛
5,종묘,Jongmyo Shrine,37.5745,126.9942,120,역사,서울,종로구,희귀,150,TRUE,조선 역대 왕·왕비 신위 모신 유교 사당,긴 정전 회랑,#4A4A4A,⛩
6,운현궁,Unhyeongung,37.5715,126.9858,80,역사,서울,종로구,일반,50,FALSE,흥선대원군 사저·고종 어린 시절,한옥 솟을대문,#5C4033,🏯
7,광화문 광장,Gwanghwamun Square,37.5760,126.9769,100,랜드마크,서울,종로구,일반,50,FALSE,서울의 상징 광장·세종대왕 동상,세종대왕 좌상 실루엣,#003478,🗿
8,숭례문,Sungnyemun (Namdaemun),37.5601,126.9753,80,역사,서울,중구,일반,50,FALSE,국보 1호·서울 도성 정남문,누각 처마선,#A0522D,🏛
9,흥인지문 (동대문),Heunginjimun (Dongdaemun),37.5712,127.0094,80,역사,서울,종로구,일반,50,FALSE,보물 1호·서울 도성 정동문,누각 측면 실루엣,#A0522D,🏛
10,보신각,Bosingak Belfry,37.5697,126.9839,60,역사,서울,종로구,일반,50,FALSE,제야의 종 타종 장소,큰 종 + 종지기,#FFD700,🔔
11,북촌 한옥마을,Bukchon Hanok Village,37.5827,126.9831,200,한옥,서울,종로구,희귀,150,TRUE,서울에서 가장 잘 보존된 한옥 밀집 지구,기와지붕 골목 일러스트,#6B4226,🏘
12,인사동,Insadong,37.5733,126.9856,150,거리,서울,종로구,일반,50,FALSE,전통 공예·갤러리·찻집 거리,붓·먹 한자 실루엣,#8B0000,🖌
13,삼청동,Samcheong-dong,37.5825,126.9810,150,거리,서울,종로구,일반,50,FALSE,갤러리·카페·돌담길로 유명,돌담길·은행나무,#DAA520,🍂
14,익선동,Ikseon-dong,37.5732,126.9882,120,거리,서울,종로구,일반,50,FALSE,개량 한옥 카페·레트로 골목,한옥 카페 간판,#E07B00,☕
